"s1","s2","z"
0.42,0.01,-1.54877371416084
-0.15,0.08,-0.895727713482754
-0.2,0.47,0.204674120761538
0.2,0.01,-0.593576937481893
0.39,-0.48,-1.09324521729973
0.19,-0.45,2.2896174985799
0.35,0.26,-2.51130902655533
-0.41,-0.11,0.842852277695428
-0.46,-0.48,0.434177664042538
0.05,-0.01,1.03205129594104
-0.17,0.13,-0.96588965219267
0.44,0.42,-1.22078565895756
-0.46,0.32,-0.0317127244436643
0.38,-0.32,-0.158003009320746
-0.12,0.44,-0.448663450231545
0.11,-0.25,-1.13362770371378
0.49,-0.18,-0.834212593699932
0.46,0.32,-0.717527027151377
0.37,0.5,0.0534275856328858
-0.19,-0.36,-0.536744934826986
0.41,0.29,-1.44505542210203
-0.44,-0.17,-0.632769513495814
0.04,-0.44,-1.35674742379996
-0.5,-0.39,-0.249530422868355
0.1,0.23,-0.722312212489373
-0.25,-0.22,0.333197459556512
0.02,0.13,1.08313828189213
0.34,-0.48,-0.0774135808091047
-0.3,-0.45,-0.287765256697001
-0.23,0.43,0.148577607205363
-0.13,-0.26,1.12164380837265
0.31,-0.49,-0.192264448581488
-0.12,0.04,-0.804560643641259
0.0700000000000001,-0.41,-1.16726324952773
0.26,-0.25,-0.414461137975105
0.13,-0.02,-0.270048347081827
0,-0.35,-2.00674778428292
0.23,0.26,-3.14255607184366
-0.07,0.24,0.715592425385116
-0.21,-0.31,0.399509157401959
0.18,-0.24,-0.118116552783369
0.23,-0.05,-0.607920389137064
-0.08,0.14,1.09198440825272
-0.41,-0.27,-0.950495353804365
0.4,0.25,-2.08486851233847
0.2,-0.37,0.00715057050421461
-0.4,-0.5,0.443474145751289
0.38,0.19,-2.70396364118952
0.42,-0.32,-0.396894796145904
-0.13,-0.46,-1.62349877219599
0.04,-0.32,-1.41310255790352
-0.04,0.28,0.966103702751189
0.01,0.18,0.597670914855568
-0.12,0.03,-0.796069729670109
-0.11,0.4,-0.956390706770917
0.05,0.5,-1.71791649701054
-0.42,0.43,-0.314888375653082
0.28,-0.19,-0.747365082586224
-0.35,-0.31,-0.983623004870384
0.42,-0.44,-1.13515890223105
0.44,0.28,-1.38533256464507
0.48,0.0600000000000001,-3.03856787813668
-0.15,-0.2,0.541536158405938
-0.15,0.47,-0.0867164300020849
-0.3,-0.28,-0.00632490508990155
-0.08,-0.34,-0.674000182820236
0.37,-0.23,-0.237949486772885
0.4,-0.46,-1.18216898009012
0.2,0.32,-2.08763337063518
0.16,-0.13,-0.0409438561504418
0.02,0.01,0.698614748541571
-0.09,-0.27,0.640762031660589
0.44,-0.21,-0.57121581754931
0.37,-0.49,-1.01965529483882
0.25,-0.14,-0.822198534080723
0.19,0.49,-1.98163616109434
-0.29,-0.15,0.638762609112031
0.39,-0.09,-0.564613606790827
-0.03,0.02,0.58972904646588
0.41,-0.36,-0.354120329228389
0.0600000000000001,0.17,0.527270895661938
0.37,-0.07,-0.241155232073468
0.32,-0.08,-0.00896557417888436
-0.06,0.41,-1.09231757470315
-0.08,-0.15,-0.0817183685858765
0.26,0.22,-2.98242804851042
