iteration,log_likelihood,global_epoch
0,-3470.1759786423606,1
50,-2969.1608760139434,1
100,-2468.9849775127248,1
150,-2168.361613070695,1
200,-1967.080084472152,1
250,-1766.2522130777054,1
300,-1664.8832163947084,1
350,-1563.9035741670943,1
400,-1472.4918855822466,1
450,-1460.899564545259,1
500,-1459.9193700354922,1
550,-1458.7792228763751,1
600,-1458.7792228763751,1
650,-1458.7792228763751,1
700,-1458.7792228763751,1
750,-1458.7792228763751,1
800,-1343.376989669608,2
850,-1342.3808472588555,2
900,-1342.2872752873707,2
1000,-1341.664226229333,2
1050,-1340.0456783677002,2
1100,-1339.7155054917746,2
1150,-1338.7007812251243,2
1200,-1338.1974344435757,2
1250,-1337.1756077767373,2
1300,-1336.8098959410122,2
1350,-1421.2418078135086,3
1400,-1419.819113527788,3
1450,-1401.6181703610994,3
1500,-1377.0942211822608,3
1550,-1338.7572068236645,3
1600,-1333.9434243150886,3
1650,-1332.793327732486,3
1700,-1332.0858453070484,3
1750,-1295.5541033878733,4
1800,-1293.8192969680267,4
1850,-1293.3083961017658,4
1900,-1292.2740207847307,4
1950,-1292.2066286285053,4
2000,-1290.4429297058111,4
2050,-1286.2437596204086,5
2050,-1285.6025091565214,5
2100,-1284.36938514846,5
2150,-1285.3490097021458,5
2200,-1283.0292037286308,5
2500,-1279.2720415415065,6
2550,-1278.4152247442532,6
2600,-1277.9742989000517,6
2650,-1277.9808389783154,6
3000,-1272.4387631371405,7
3050,-1271.7329416693183,7
3100,-1271.9169276572143,7
3500,-1271.7120515581862,7
3550,-1271.1914159686214,8
3600,-1271.28659488914,8
